name,latitude,longitude,state
Coesfeld,51.94349,7.16809,North Rhine-Westphalia
Schwäbisch Hall,49.11127,9.73908,Baden-Wuerttemberg
Lurup,53.59266,9.87697,Hamburg
Niederkassel,50.81503,7.03777,North Rhine-Westphalia
Porta Westfalica,52.22961,8.91612,North Rhine-Westphalia
Datteln,51.65598,7.3453,North Rhine-Westphalia
Kempen,51.36432,6.41858,North Rhine-Westphalia
Voerde,51.59703,6.6863,North Rhine-Westphalia
Barmbek-Süd,53.58007,10.04067,Hamburg
Backnang,48.94743,9.43718,Baden-Wuerttemberg
Pasing,48.14146,11.45599,Bavaria
Wesseling,50.82709,6.9747,North Rhine-Westphalia
Emsdetten,52.1734,7.52781,North Rhine-Westphalia
Farmsen-Berne,53.60639,10.11972,Hamburg
Langen,49.98955,8.66852,Hesse
Neu-Isenburg,50.04832,8.69406,Hesse
Zweibrücken,49.24686,7.36977,Rheinland-Pfalz
Sinsheim,49.2529,8.87867,Baden-Wuerttemberg
Ottensen,53.55213,9.92421,Hamburg
Greven,52.09364,7.59396,North Rhine-Westphalia
Eidelstedt,53.60697,9.90538,Hamburg
Bonn Hardtberg,50.704,7.054,North Rhine-Westphalia
Uelzen,52.96572,10.56111,Lower Saxony
Lage,51.99223,8.79301,North Rhine-Westphalia
Bernau bei Berlin,52.67982,13.58708,Brandenburg
Tuttlingen,47.98464,8.8177,Baden-Wuerttemberg
Merseburg,51.35478,11.98923,Saxony-Anhalt
Vegesack,53.16667,8.61667,Lower Saxony
Steinfurt,52.15045,7.33664,North Rhine-Westphalia
Wernigerode,51.83652,10.78216,Saxony-Anhalt
Balingen,48.27525,8.85464,Baden-Wuerttemberg
Meppen,52.69064,7.29097,Lower Saxony
Papenburg,53.07738,7.40444,Lower Saxony
Geldern,51.51908,6.32363,North Rhine-Westphalia
Kehl,48.57297,7.81523,Baden-Wuerttemberg
Jülich,50.92149,6.36267,North Rhine-Westphalia
Leer,53.23157,7.461,Lower Saxony
Limburg an der Lahn,50.3836,8.0503,Hesse
Fennpfuhl,52.52921,13.47267,Berlin
Goch,51.67873,6.15895,North Rhine-Westphalia
Ostfildern,48.72704,9.24954,Baden-Wuerttemberg
Fürstenwalde,52.36067,14.06185,Brandenburg
Fürstenfeldbruck,48.17904,11.2547,Bavaria
Erding,48.30603,11.90686,Bavaria
Korschenbroich,51.19139,6.51352,North Rhine-Westphalia
Dietzenbach,50.00976,8.77783,Hesse
Itzehoe,53.92099,9.51529,Schleswig-Holstein
Burglesum,53.16532,8.68873,Lower Saxony
Seelze,52.39635,9.59727,Lower Saxony
Mörfelden-Walldorf,49.99472,8.58361,Hesse
Höxter,51.77501,9.38155,North Rhine-Westphalia
Gevelsberg,51.31971,7.3392,North Rhine-Westphalia
Winsen,53.35753,10.21282,Lower Saxony
Radebeul,51.10654,13.66047,Saxony
Nienburg,52.6461,9.22086,Lower Saxony
Viernheim,49.54033,8.5782,Hesse
Ennepetal,51.29848,7.3629,North Rhine-Westphalia
Georgsmarienhütte,52.20296,8.0448,Lower Saxony
Rheinfelden,47.56013,7.78715,Baden-Wuerttemberg
Königs Wusterhausen,52.30141,13.633,Brandenburg
Stuhr,53.03333,8.75,Lower Saxony
Biberach an der Riß,48.09345,9.79053,Baden-Wuerttemberg
Marienfelde,52.41868,13.36723,Berlin
Crailsheim,49.13444,10.07193,Baden-Wuerttemberg
Meschede,51.3502,8.28332,North Rhine-Westphalia
Rheinberg,51.54649,6.59525,North Rhine-Westphalia
Werl,51.55493,7.91403,North Rhine-Westphalia
Bernburg,51.79464,11.7401,Saxony-Anhalt
Neugraben-Fischbek,53.46579,9.84344,Lower Saxony
Eisenhüttenstadt,52.15,14.65,Brandenburg
Niederschönhausen,52.58483,13.40272,Berlin
Wedel,53.58374,9.69835,Schleswig-Holstein
Neuruppin,52.92815,12.80311,Brandenburg
Ansbach,49.30481,10.5931,Bavaria
Kreuztal,50.96775,7.98848,North Rhine-Westphalia
Lampertheim,49.59786,8.4725,Hesse
Idar-Oberstein,49.71443,7.30776,Rheinland-Pfalz
Osterholz-Scharmbeck,53.22698,8.79528,Lower Saxony
Bramsche,52.40881,7.97288,Lower Saxony
Lohmar,50.83868,7.21399,North Rhine-Westphalia
Herrenberg,48.59523,8.86648,Baden-Wuerttemberg
Hakenfelde,52.55877,13.20831,Berlin
Güstrow,53.7972,12.17337,Mecklenburg-Vorpommern
Cloppenburg,52.84754,8.045,Lower Saxony
Ganderkesee,53.03333,8.53333,Lower Saxony
Merzig,49.44331,6.63874,Saarland
Deggendorf,48.84085,12.96068,Bavaria
Kornwestheim,48.86158,9.18569,Baden-Wuerttemberg
Burgdorf,52.44628,10.0064,Lower Saxony
Northeim,51.70662,9.99997,Lower Saxony
Emmerich,51.83933,6.24792,North Rhine-Westphalia
Werne,51.66446,7.63421,North Rhine-Westphalia
Bad Vilbel,50.17866,8.73756,Hesse
Bad Hersfeld,50.87197,9.70891,Hesse
Forchheim,49.71754,11.05877,Bavaria
Oer-Erkenschwick,51.64198,7.26451,North Rhine-Westphalia
Schönebeck,52.01682,11.7307,Saxony-Anhalt
Tönisvorst,51.32092,6.49412,North Rhine-Westphalia
Bad Nauheim,50.36463,8.73859,Hesse
Schwelm,51.28635,7.29388,North Rhine-Westphalia
Waltrop,51.62125,7.40238,North Rhine-Westphalia
Schwedt (Oder),53.05963,14.28154,Brandenburg
Ahrensburg,53.67515,10.22593,Schleswig-Holstein
Schnelsen,53.63743,9.91969,Schleswig-Holstein
Radolfzell,47.74194,8.97098,Baden-Wuerttemberg
Achim,53.01416,9.0263,Lower Saxony
Wittenberg,51.8661,12.64973,Saxony-Anhalt
Friedberg,48.35693,10.98461,Bavaria
Delbrück,51.76503,8.56223,North Rhine-Westphalia
Springe,52.20845,9.55416,Lower Saxony
Weißenfels,51.20148,11.96843,Saxony-Anhalt
Mahlsdorf,52.50935,13.61373,Berlin
Vechta,52.72632,8.28598,Lower Saxony
Naumburg,51.14987,11.80979,Saxony-Anhalt
Wegberg,51.14221,6.28436,North Rhine-Westphalia
Andernach,50.43109,7.40425,Rheinland-Pfalz
Altglienicke,52.41116,13.5355,Berlin
Weil am Rhein,47.59331,7.62082,Baden-Wuerttemberg
